Priority,Key,Store,Wine_Name,Location,Price,Wine_Sort,Wine_Origin,Grape_1,Grape_2,Grape_3,Acid,Sweet,Sparkling,Food_match
1,SG0001,신세계백화점,"파스쿠아, 프리잔떼 돌체 스윗 로제","강남점, 경기점",35000,화이트,이탈리아,비노비앙코,피노네로,샤도네이,2,4,1,"G01, G02"
2,EM0001,이마트몰,도스 코파스 레드,"가든5점, 가양점, 강릉점, 검단점, 경산점, 계양점, 고잔점, 과천점, 광명소하점, 광산점, 구미점, 군산점, 금정점, 김천점, 김해점, 대전터미널점, 동구미점, 동백점, 동인천점, 동해점, 둔산점, 마산점, 마포점, 만촌점, 명일점, 목동점, 목포점, 문현점, 반야월점, 별내점, 보라점, 보령점, 봉선점, 산본점, 상봉점, 상주점, 서귀포점, 서산점, 서수원점, 성서점, 성수점, 세종점, 속초점, 수색점, 수지점, 순천점, 신제주점, 아산점, 안동점, 안성점, 양재점, 양주점, 여수점, 여주점, 연수점, 연제점, 영등포점, 영천점, 오산점, 원주점, 월계점, 월배점, 의왕점, 의정부점, 이천점, 익산점, 자양점, 제주점, 진접점, 진주점, 창원점, 천안서북점, 청주점, 춘천점, 충주점, 통영점, 파주점, 펜타포트점, 평촌점, 평택점, 포천점, 포항이동점, 포항점, 하남점, 하월곡점, 해운대점, 화성봉담점, 화정점",4900,레드,스페인,레드블렌딩,0,0,2,1,,"A01, C01, D01, E04, G01"
3,EM0002,이마트몰,프레스코발디 카스틸리오니 끼안티,"가든5점, 가양점, 강릉점, 검단점, 경산점, 계양점, 고잔점, 과천점, 광명소하점, 광산점, 금정점, 김해점, 동백점, 동인천점, 동해점, 둔산점, 마포점, 만촌점, 명일점, 목동점, 목포점, 문현점, 반야월점, 별내점, 보라점, 봉선점, 사상점, 산본점, 상봉점, 서귀포점, 서산점, 서수원점, 성서점, 성수점, 세종점, 속초점, 수지점, 순천점, 신도림점, 신제주점, 아산점, 안성점, 양산점, 양재점, 여수점, 여주점, 연수점, 연제점, 영등포점, 오산점, 울산점, 원주점, 월계점, 월배점, 의왕점, 자양점, 제주점, 중동점, 진주점, 창원점, 천안서북점, 천안점, 청주점, 춘천점, 칠성점, 통영점, 파주점, 평촌점, 평택점, 포항이동점, 포항점, 하남점, 하월곡점, 해운대점, 화성봉담점, 화정점",32000,레드,이탈리아,레드블렌딩,,,3,1,0,"E04, A01, E02"
4,EM0003,이마트몰,발레벨보 모스카토 다스띠,"가든5점, 가양점, 경산점, 고잔점, 과천점, 군산점, 금정점, 김천점, 대전터미널점, 동구미점, 동백점, 동해점, 둔산점, 마산점, 마포점, 만촌점, 목동점, 목포점, 문현점, 반야월점, 보라점, 보령점, 봉선점, 사상점, 산본점, 상봉점, 상주점, 서귀포점, 서산점, 성서점, 수색점, 수지점, 순천점, 신제주점, 아산점, 안동점, 양재점, 양주점, 여주점, 연제점, 영등포점, 영천점, 오산점, 울산점, 원주점, 월배점, 의왕점, 이천점, 자양점, 진접점, 진주점, 천안서북점, 천안점, 청주점, 칠성점, 통영점, 파주점, 평촌점, 평택점, 포천점, 포항이동점, 포항점, 하남점, 해운대점, 화성봉담점, 화정점",14800,화이트,이탈리아,모스카토,,,5,5,1,"C01, D01, F01, G02, A01"
5,EM0004,이마트몰,트라피체 오크캐스크 말벡,"가든5점, 가양점, 경산점, 계양점, 고잔점, 과천점, 광산점, 구미점, 군산점, 금정점, 김천점, 김해점, 대전터미널점, 동구미점, 동백점, 동인천점, 동해점, 둔산점, 마산점, 마포점, 만촌점, 명일점, 목동점, 목포점, 문현점, 반야월점, 별내점, 보령점, 봉선점, 상주점, 서귀포점, 서산점, 서수원점, 성수점, 세종점, 수색점, 수지점, 순천점, 신제주점, 아산점, 안동점, 안성점, 양재점, 양주점, 연수점, 연제점, 영등포점, 영천점, 오산점, 원주점, 월배점, 의왕점, 의정부점, 익산점, 자양점, 제주점, 중동점, 진접점, 진주점, 창원점, 청주점, 춘천점, 충주점, 통영점, 펜타포트점, 포천점, 포항이동점, 포항점, 하남점, 해운대점",16800,레드,아르헨티나,말벡,0,0,1,1,,"B01, A01"
6,EM0005,이마트몰,도스 코파스 샤도네이,"가든5점, 가양점, 강릉점, 검단점, 경산점, 계양점, 고잔점, 과천점, 광명소하점, 광산점, 구미점, 군산점, 금정점, 김천점, 김해점, 대전터미널점, 동구미점, 동백점, 동인천점, 동해점, 마산점, 마포점, 만촌점, 명일점, 목동점, 목포점, 문현점, 반야월점, 별내점, 보라점, 보령점, 봉선점, 산본점, 상봉점, 상주점, 서귀포점, 서산점, 서수원점, 성서점, 성수점, 세종점, 속초점, 수색점, 수지점, 순천점, 신제주점, 아산점, 안동점, 안성점, 양재점, 양주점, 여수점, 여주점, 연수점, 연제점, 영등포점, 영천점, 오산점, 울산점, 원주점, 월계점, 월배점, 의왕점, 의정부점, 이천점, 익산점, 자양점, 제주점, 중동점, 진접점, 진주점, 창원점, 천안서북점, 청주점, 춘천점, 충주점, 통영점, 펜타포트점, 평촌점, 평택점, 포천점, 포항이동점, 포항점, 하남점, 하월곡점, 해운대점, 화성봉담점, 화정점",4900,화이트,칠레,샤도네이,0,0,4,1,,"B01, C01, F01, A01, B03, E01"
7,SG0002,신세계백화점,뿌삐유,"강남점, 경기점, 센텀시티점, 마산점, 대구점, 본점, 광주점, 타임스퀘어점",50000,레드,프랑스,메를로,0,0,3,1,,"C01, A01, E02"
8,SG0003,신세계백화점,빌라 안나베르타 아마로네,"대구점, 경기점",59000,레드,이탈리아,코르비나,론디넬라,몰리나라,2,1,,"E04, F01, A01, E02"
9,EM0006,이마트몰,도스코파스 까베르네 소비뇽,"가든5점, 가양점, 강릉점, 검단점, 경산점, 계양점, 고잔점, 과천점, 광명소하점, 광산점, 구미점, 군산점, 금정점, 김천점, 김해점, 대전터미널점, 동구미점, 동백점, 동인천점, 동해점, 둔산점, 마산점, 마포점, 만촌점, 명일점, 목동점, 목포점, 문현점, 반야월점, 별내점, 보라점, 보령점, 봉선점, 산본점, 상봉점, 상주점, 서귀포점, 서산점, 서수원점, 성서점, 성수점, 세종점, 속초점, 수색점, 수지점, 순천점, 아산점, 안동점, 안성점, 양재점, 양주점, 여수점, 여주점, 연수점, 연제점, 영등포점, 영천점, 오산점, 울산점, 원주점, 월계점, 월배점, 의왕점, 의정부점, 이천점, 익산점, 자양점, 제주점, 중동점, 진접점, 진주점, 창원점, 천안서북점, 청주점, 춘천점, 충주점, 통영점, 파주점, 펜타포트점, 평촌점, 평택점, 포천점, 포항점, 하남점, 하월곡점, 해운대점, 화성봉담점, 화정점",4900,레드,칠레,까베르네쇼비뇽,0,0,3,1,,"B01, E01, A01"
10,EM0007,이마트몰,프레스코발디 레몰레 로쏘,"가든5점, 가양점, 강릉점, 검단점, 경산점, 계양점, 고잔점, 과천점, 광명소하점, 광산점, 금정점, 김해점, 동백점, 동인천점, 동해점, 둔산점, 마포점, 만촌점, 명일점, 목동점, 목포점, 문현점, 반야월점, 별내점, 보라점, 봉선점, 사상점, 산본점, 상봉점, 서귀포점, 서산점, 서수원점, 성서점, 성수점, 세종점, 속초점, 수지점, 순천점, 신도림점, 신제주점, 아산점, 안성점, 양산점, 양재점, 여수점, 연수점, 연제점, 영등포점, 오산점, 울산점, 원주점, 월계점, 월배점, 의왕점, 자양점, 제주점, 중동점, 진주점, 창원점, 천안서북점, 천안점, 청주점, 춘천점, 칠성점, 통영점, 파주점, 평촌점, 평택점, 포항이동점, 포항점, 하월곡점, 해운대점, 화성봉담점, 화정점",24000,레드,이탈리아,레드블렌딩,,,3,1,0,"E04, A01, D01, E02"
11,EM0008,이마트몰,울프 블라스 레드라벨 쉬라즈,"가든5점, 가양점, 강릉점, 검단점, 경산점, 계양점, 고잔점, 과천점, 광명소하점, 광산점, 금정점, 김해점, 동백점, 동인천점, 동해점, 둔산점, 마포점, 만촌점, 명일점, 목동점, 목포점, 반야월점, 별내점, 봉선점, 사상점, 산본점, 상봉점, 서귀포점, 서산점, 서수원점, 성서점, 성수점, 세종점, 수지점, 순천점, 신도림점, 신제주점, 아산점, 안성점, 양산점, 양재점, 여수점, 연수점, 연제점, 영등포점, 오산점, 울산점, 원주점, 월계점, 월배점, 의왕점, 자양점, 제주점, 중동점, 진주점, 창원점, 천안서북점, 천안점, 청주점, 춘천점, 칠성점, 통영점, 파주점, 평촌점, 평택점, 포항이동점, 포항점, 하월곡점, 해운대점, 화성봉담점, 화정점",15800,레드,호주,쉬라즈,,,3,1,0,"B02, A01"
12,EM0009,이마트몰,간치아 모스카토 다스띠 DOCG,"가양점, 경산점, 계양점, 고잔점, 과천점, 광명소하점, 광산점, 구미점, 군산점, 금정점, 김천점, 김해점, 대전터미널점, 동구미점, 동백점, 동인천점, 동해점, 둔산점, 마산점, 마포점, 만촌점, 명일점, 목동점, 목포점, 문현점, 반야월점, 별내점, 보라점, 보령점, 봉선점, 사상점, 상봉점, 상주점, 서귀포점, 서수원점, 성서점, 성수점, 세종점, 수색점, 수지점, 순천점, 신제주점, 아산점, 안동점, 안성점, 양재점, 양주점, 여수점, 여주점, 연수점, 연제점, 영등포점, 영천점, 오산점, 원주점, 월계점, 월배점, 의왕점, 의정부점, 이천점, 자양점, 제주점, 중동점, 진접점, 창원점, 천안서북점, 청주점, 춘천점, 충주점, 통영점, 파주점, 펜타포트점, 평촌점, 포천점, 포항이동점, 포항점, 하남점, 해운대점, 화정점",18800,화이트,이탈리아,모스카토,,,3,3,1,"D02, E01, F02, G01, G02"
13,SG0004,신세계백화점,메디치 에르메테 콘체르토,본점,36000,레드,이탈리아,람부르스코 살라미노,0,0,1,1,1,"E04, A01, E01, G01"
14,EM0010,이마트몰,프레스코발디 카스틸리오니 토스카나,"가양점, 강릉점, 검단점, 경산점, 계양점, 고잔점, 과천점, 광명소하점, 광산점, 금정점, 김해점, 동백점, 동인천점, 둔산점, 마포점, 만촌점, 명일점, 목동점, 목포점, 문현점, 반야월점, 별내점, 보라점, 봉선점, 사상점, 산본점, 상봉점, 서귀포점, 서수원점, 성서점, 성수점, 세종점, 속초점, 수지점, 순천점, 신도림점, 신제주점, 아산점, 안성점, 양산점, 양재점, 여수점, 연수점, 연제점, 영등포점, 오산점, 울산점, 월계점, 월배점, 의왕점, 자양점, 제주점, 중동점, 진주점, 창원점, 천안서북점, 천안점, 청주점, 춘천점, 칠성점, 통영점, 파주점, 평촌점, 평택점, 포항이동점, 포항점, 하월곡점, 해운대점, 화정점",53000,레드,이탈리아,레드블렌딩,,,3,1,0,"E04, A01"
15,EM0011,이마트몰,뵈브클리코 옐로우라벨,"가든5점, 가양점, 강릉점, 검단점, 경산점, 고잔점, 과천점, 구미점, 군산점, 금정점, 김천점, 김해점, 대전터미널점, 동구미점, 동백점, 동인천점, 둔산점, 마산점, 마포점, 만촌점, 명일점, 목동점, 문현점, 반야월점, 별내점, 보라점, 보령점, 봉선점, 사상점, 산본점, 상봉점, 상주점, 서귀포점, 서산점, 서수원점, 성서점, 성수점, 세종점, 속초점, 수색점, 수지점, 순천점, 신제주점, 아산점, 안동점, 안성점, 양산점, 양재점, 양주점, 여수점, 여주점, 연수점, 연제점, 영등포점, 영천점, 오산점, 울산점, 원주점, 월계점, 월배점, 의왕점, 의정부점, 이천점, 익산점, 자양점, 제주점, 진접점, 진주점, 창원점, 천안서북점, 춘천점, 충주점, 통영점, 파주점, 펜타포트점, 평촌점, 포천점, 포항이동점, 포항점, 하남점, 해운대점, 화성봉담점, 화정점",74500,화이트,프랑스,샤도네이,피노누아,피노뮈니에,3,1,1,"B01, F02, G01, A01, B03, F04"
16,EM0012,이마트몰,모엣샹동 임페리얼,"가든5점, 가양점, 강릉점, 경산점, 계양점, 고잔점, 과천점, 광명소하점, 광산점, 구미점, 군산점, 금정점, 김천점, 김해점, 대전터미널점, 동구미점, 동백점, 동인천점, 둔산점, 마산점, 마포점, 만촌점, 명일점, 목동점, 목포점, 문현점, 반야월점, 별내점, 보라점, 보령점, 봉선점, 사상점, 산본점, 상봉점, 상주점, 서귀포점, 서산점, 서수원점, 성서점, 성수점, 세종점, 속초점, 수색점, 수지점, 순천점, 신제주점, 아산점, 안동점, 양산점, 양재점, 양주점, 여수점, 여주점, 연수점, 연제점, 영등포점, 영천점, 오산점, 원주점, 월계점, 월배점, 의왕점, 의정부점, 이천점, 익산점, 자양점, 제주점, 진접점, 진주점, 창원점, 청주점, 춘천점, 충주점, 통영점, 파주점, 펜타포트점, 평택점, 포천점, 포항이동점, 포항점, 하남점, 해운대점, 화성봉담점, 화정점",74800,화이트,프랑스,샤도네이,피노누아,피노뮈니에,3,1,1,"B01, F02, G01, A01, B03, F04"
17,EM0013,이마트몰,디아블로 피노누아,"가든5점, 가양점, 강릉점, 검단점, 경산점, 고잔점, 과천점, 광명소하점, 광산점, 구미점, 군산점, 금정점, 김천점, 김해점, 대전터미널점, 동구미점, 동인천점, 둔산점, 마산점, 마포점, 만촌점, 명일점, 목동점, 목포점, 문현점, 반야월점, 보라점, 보령점, 봉선점, 사상점, 산본점, 상봉점, 상주점, 서산점, 성서점, 성수점, 수색점, 수지점, 순천점, 아산점, 안성점, 양산점, 양주점, 여수점, 여주점, 연제점, 영등포점, 영천점, 오산점, 울산점, 원주점, 의왕점, 이천점, 자양점, 중동점, 진접점, 진주점, 창원점, 천안점, 춘천점, 충주점, 통영점, 파주점, 평촌점, 포천점, 포항이동점, 포항점, 하남점, 해운대점, 화성봉담점, 화정점",11800,레드,칠레,피노누아,,,3,3,0,"C02, D01, G01"
18,SG0005,신세계백화점,머드하우스 소비뇽 블랑,본점,29000,화이트,뉴질랜드,소비뇽블랑,0,0,4,1,,"B02, B03, C01, F01"
19,EM0014,이마트몰,칸티 모스카토 IGT,"가든5점, 가양점, 강릉점, 검단점, 경산점, 계양점, 고잔점, 과천점, 광명소하점, 광산점, 금정점, 김해점, 동구미점, 동백점, 동인천점, 동해점, 둔산점, 마포점, 만촌점, 명일점, 목동점, 목포점, 문현점, 반야월점, 별내점, 보라점, 봉선점, 사상점, 산본점, 상봉점, 상주점, 서귀포점, 서산점, 서수원점, 성서점, 성수점, 세종점, 속초점, 수지점, 순천점, 신도림점, 신제주점, 아산점, 안성점, 양산점, 양재점, 여수점, 연수점, 연제점, 영등포점, 오산점, 울산점, 원주점, 월계점, 월배점, 의왕점, 의정부점, 자양점, 제주점, 중동점, 진주점, 창원점, 천안서북점, 천안점, 청주점, 춘천점, 칠성점, 통영점, 파주점, 평촌점, 평택점, 포천점, 포항이동점, 포항점, 하남점, 하월곡점, 해운대점, 화성봉담점, 화정점",9800,화이트,이탈리아,모스카토,,,3,5,1,"D02, F02, G01, G02"
20,EM0015,이마트몰,프레스코발디 레몰레 비앙코,"가든5점, 가양점, 강릉점, 검단점, 경산점, 계양점, 고잔점, 과천점, 광명소하점, 광산점, 금정점, 김해점, 동백점, 동인천점, 동해점, 둔산점, 마포점, 만촌점, 명일점, 목동점, 목포점, 문현점, 반야월점, 별내점, 보라점, 봉선점, 사상점, 산본점, 상봉점, 서귀포점, 서산점, 서수원점, 성서점, 성수점, 세종점, 속초점, 수지점, 순천점, 신도림점, 신제주점, 아산점, 안성점, 양산점, 양재점, 여수점, 연수점, 연제점, 영등포점, 오산점, 울산점, 원주점, 월계점, 월배점, 의왕점, 자양점, 제주점, 중동점, 진주점, 창원점, 천안서북점, 천안점, 청주점, 춘천점, 칠성점, 통영점, 파주점, 평촌점, 평택점, 포항이동점, 포항점, 하월곡점, 해운대점, 화성봉담점, 화정점",24000,화이트,이탈리아,화이트블랜딩,,,4,1,0,"C01, D01, F01, A01, B02"
21,SG0006,신세계백화점,"에밀리아나, 코얌","강남점, 경기점",56000,레드,칠레,쉬라즈,까르메네르,까베르네소비뇽,3,1,,"B02, F01, A01, E02"
22,EM0016,이마트몰,울프 블라스 레드라벨 샤도네이,"가든5점, 가양점, 강릉점, 검단점, 경산점, 계양점, 고잔점, 과천점, 광명소하점, 금정점, 김해점, 동백점, 동인천점, 동해점, 둔산점, 마포점, 만촌점, 명일점, 목동점, 목포점, 문현점, 반야월점, 별내점, 보라점, 봉선점, 사상점, 산본점, 상봉점, 서귀포점, 서수원점, 성서점, 성수점, 세종점, 속초점, 수지점, 순천점, 신도림점, 신제주점, 아산점, 안성점, 양산점, 양재점, 여수점, 연수점, 연제점, 오산점, 울산점, 원주점, 월계점, 월배점, 의왕점, 자양점, 제주점, 중동점, 진주점, 창원점, 천안서북점, 천안점, 청주점, 춘천점, 칠성점, 통영점, 파주점, 평촌점, 평택점, 포항이동점, 포항점, 하월곡점, 해운대점, 화성봉담점, 화정점",15800,화이트,호주,샤도네이,,,3,1,0,"B01, F02, G01, A01, F03"
23,EM0017,이마트몰,모엣 샹동 로제 임페리얼,"가든5점, 가양점, 강릉점, 검단점, 경산점, 계양점, 고잔점, 과천점, 광명소하점, 광산점, 구미점, 군산점, 금정점, 김천점, 김해점, 대전터미널점, 동구미점, 동백점, 동인천점, 둔산점, 마산점, 마포점, 만촌점, 명일점, 목동점, 목포점, 문현점, 반야월점, 별내점, 보라점, 보령점, 봉선점, 사상점, 산본점, 상봉점, 상주점, 서귀포점, 서산점, 서수원점, 세종점, 속초점, 수색점, 수지점, 순천점, 아산점, 안동점, 안성점, 양재점, 양주점, 여수점, 연수점, 연제점, 영등포점, 영천점, 오산점, 원주점, 월계점, 월배점, 의왕점, 의정부점, 이천점, 익산점, 자양점, 제주점, 중동점, 진접점, 진주점, 창원점, 청주점, 춘천점, 충주점, 통영점, 파주점, 펜타포트점, 평택점, 포천점, 포항이동점, 포항점, 하남점, 해운대점, 화성봉담점, 화정점",88500,화이트,프랑스,블랜딩,0,0,4,1,1,"C01, D01, F01, A01, B02, F04"
24,SG0007,신세계백화점,"에밀리아나, 노바스 카베르네 소비뇽","강남점, 경기점",38000,레드,칠레,까베르네쇼비뇽,,,3,1,0,"B01, E01, A01, E02"
25,EM0018,이마트몰,빌라엠,"가든5점, 가양점, 강릉점, 경산점, 고잔점, 과천점, 광산점, 구미점, 군산점, 금정점, 김천점, 김해점, 동구미점, 동백점, 동해점, 둔산점, 마포점, 만촌점, 명일점, 목동점, 목포점, 문현점, 반야월점, 보령점, 봉선점, 사상점, 산본점, 상봉점, 상주점, 서산점, 서수원점, 성서점, 성수점, 수색점, 순천점, 아산점, 안동점, 안성점, 양산점, 양재점, 양주점, 여수점, 여주점, 연제점, 영등포점, 영천점, 오산점, 울산점, 원주점, 월계점, 월배점, 의왕점, 이천점, 익산점, 자양점, 중동점, 진접점, 진주점, 창원점, 천안서북점, 천안점, 청주점, 춘천점, 통영점, 펜타포트점, 평촌점, 평택점, 포천점, 포항이동점, 포항점, 하남점, 해운대점",23000,화이트,이탈리아,모스카토,,,2,5,0,"D02, F04, G01, G02, A01"
26,SG0008,신세계백화점,투핸즈 엔젤스쉐어,"강남점, 본점, 의정부점, 광주점, 센텀시티점, 마산점, 타임스퀘어점, 대구점",43000,레드,호주,쉬라즈,0,0,3,1,,"B02, A01, E01"
27,SG0009,신세계백화점,"파스쿠아, 진 프리미티보",본점,42000,레드,이탈리아,프리미티보,,,1,1,0,"E04, A01, E01, F02"
28,EM0019,이마트몰,샤토 생 미셸 컬럼비아 밸리 리슬링,"가든5점, 가양점, 강릉점, 경산점, 계양점, 고잔점, 과천점, 광명소하점, 구미점, 군산점, 금정점, 김천점, 김해점, 대전터미널점, 동구미점, 동백점, 동인천점, 동해점, 마산점, 마포점, 만촌점, 명일점, 목동점, 문현점, 반야월점, 보라점, 보령점, 봉선점, 사상점, 상봉점, 상주점, 서귀포점, 서산점, 서수원점, 성서점, 성수점, 세종점, 속초점, 수색점, 수지점, 순천점, 신제주점, 아산점, 안동점, 안성점, 양재점, 양주점, 여수점, 여주점, 연수점, 영등포점, 영천점, 오산점, 원주점, 월계점, 월배점, 의왕점, 의정부점, 이천점, 익산점, 자양점, 제주점, 중동점, 진주점, 창원점, 천안서북점, 춘천점, 충주점, 통영점, 파주점, 평택점, 포천점, 포항이동점, 포항점, 하남점, 해운대점",24800,화이트,미국,리슬링,0,0,3,3,,"D02, E01, F02, G01, G02"
29,SG0010,신세계백화점,"로쉬 드 벨렌, 부르고뉴 샤르도네 비에이 비뉴 375ml","강남점, 경기점",28000,화이트,프랑스,샤도네이,0,0,3,1,0,"B01, F04, A01, D02"
30,EM0020,이마트몰,디아블로 쉬라,"가든5점, 가양점, 강릉점, 검단점, 경산점, 고잔점, 과천점, 광산점, 구미점, 군산점, 금정점, 김천점, 김해점, 대전터미널점, 동구미점, 동백점, 동인천점, 동해점, 둔산점, 마산점, 마포점, 만촌점, 명일점, 목동점, 목포점, 문현점, 반야월점, 별내점, 보라점, 보령점, 봉선점, 사상점, 산본점, 상봉점, 상주점, 서산점, 성서점, 성수점, 수색점, 수지점, 순천점, 아산점, 안동점, 안성점, 양산점, 양재점, 양주점, 여수점, 여주점, 연수점, 연제점, 영등포점, 영천점, 오산점, 울산점, 원주점, 월배점, 의왕점, 이천점, 익산점, 자양점, 중동점, 진접점, 진주점, 창원점, 천안서북점, 천안점, 청주점, 충주점, 통영점, 파주점, 펜타포트점, 평촌점, 평택점, 포천점, 포항이동점, 포항점, 하남점, 하월곡점, 해운대점, 화정점",11800,레드,칠레,쉬라즈,,,3,3,0,"B02, A01"
31,SG0011,신세계백화점,"로쉬 드 벨렌, 부르고뉴 피노누아 퀴베 리저브","경기점, 강남점",43000,레드,프랑스,피노누아,0,0,3,1,,"C02, D01, G01"
32,EM0021,이마트몰,칼로로시 콩코드 1.5,"가든5점, 가양점, 검단점, 경산점, 고잔점, 과천점, 광명소하점, 광산점, 구미점, 군산점, 금정점, 김천점, 김해점, 대전터미널점, 동구미점, 동백점, 동해점, 둔산점, 마포점, 만촌점, 목동점, 목포점, 반야월점, 보라점, 보령점, 봉선점, 상봉점, 상주점, 서산점, 서수원점, 성서점, 수색점, 수지점, 순천점, 아산점, 안동점, 안성점, 양재점, 양주점, 연제점, 영천점, 오산점, 원주점, 의왕점, 익산점, 중동점, 진접점, 창원점, 천안서북점, 천안점, 청주점, 충주점, 칠성점, 통영점, 펜타포트점, 평촌점, 평택점, 포천점, 포항이동점, 포항점, 하남점, 해운대점, 화성봉담점",16900,레드,미국,콩코드,0,0,3,4,,"F02, A01"
33,SG0012,신세계백화점,1865 싱글빈야드 까베르네 소비뇽1500ml,"강남점, 센텀시티점",80000,레드,칠레,까베르네쇼비뇽,0,0,2,1,0,"B01, E01, A01"
34,SG0013,신세계백화점,피치니 메모로 루즈,"본점, 의정부점, 센텀시티점, 대구점",13000,레드,이탈리아,프리미티보,몬테풀치아노,네로다볼라,3,1,,"E04, F01, A01"
35,SG0014,신세계백화점,엠 샤푸티에 라스토,"강남점, 센텀시티점, 경기점, 대구점",39000,레드,프랑스,그라나슈,쉬라즈,,2,1,0,"B02, F01, A01, E02"
36,SG0015,신세계백화점,"로버트 오틀리, 시그니처 쉬라즈","강남점, 경기점",35000,레드,호주,쉬라즈,0,0,3,1,,"B02, A01, C02, E02"
37,EM0022,이마트몰,안젤리 로쏘 브라케토,"가든5점, 가양점, 강릉점, 검단점, 경산점, 계양점, 고잔점, 과천점, 광명소하점, 광산점, 구미점, 군산점, 금정점, 김천점, 대전터미널점, 동구미점, 동백점, 동해점, 둔산점, 마산점, 마포점, 만촌점, 명일점, 목포점, 문현점, 반야월점, 별내점, 보라점, 보령점, 봉선점, 사상점, 산본점, 상주점, 서산점, 서수원점, 성서점, 성수점, 수색점, 수지점, 순천점, 아산점, 안동점, 안성점, 양산점, 양재점, 양주점, 여수점, 여주점, 연수점, 영등포점, 영천점, 오산점, 울산점, 원주점, 월배점, 의왕점, 이천점, 익산점, 자양점, 중동점, 진접점, 진주점, 창원점, 천안서북점, 청주점, 통영점, 파주점, 펜타포트점, 평촌점, 포천점, 포항이동점, 포항점, 하월곡점, 해운대점, 화성봉담점",9800,화이트,이탈리아,브라케토,,,2,4,1,"F04, G01, G02, A01, B01, D01"
38,EM0023,이마트몰,몰리나 레세르바 트리부토 150주년,"가양점, 검단점, 경산점, 고잔점, 광산점, 구미점, 군산점, 금정점, 김천점, 김해점, 대전터미널점, 동구미점, 동백점, 동인천점, 동해점, 둔산점, 마포점, 만촌점, 명일점, 목동점, 목포점, 문현점, 반야월점, 보라점, 보령점, 봉선점, 사상점, 산본점, 상주점, 서귀포점, 서수원점, 성서점, 성수점, 세종점, 수색점, 수지점, 순천점, 신제주점, 아산점, 안동점, 양재점, 양주점, 연수점, 연제점, 영등포점, 영천점, 오산점, 울산점, 원주점, 월배점, 의왕점, 의정부점, 이천점, 익산점, 자양점, 제주점, 진접점, 진주점, 창원점, 천안서북점, 청주점, 춘천점, 충주점, 통영점, 평택점, 포천점, 포항이동점, 포항점, 하월곡점, 해운대점, 화정점",19800,레드,칠레,까베르네쇼비뇽,0,0,2,1,,"B01, E01, A01"
39,EM0024,이마트몰,칼로로시 콩코드 750,"가양점, 강릉점, 검단점, 경산점, 과천점, 광명소하점, 구미점, 군산점, 금정점, 김천점, 김해점, 대전터미널점, 동구미점, 동백점, 동해점, 둔산점, 마산점, 마포점, 만촌점, 명일점, 목동점, 목포점, 반야월점, 보라점, 보령점, 봉선점, 상봉점, 상주점, 서수원점, 성서점, 성수점, 수색점, 수지점, 순천점, 아산점, 안동점, 안성점, 양재점, 양주점, 여수점, 연제점, 영등포점, 영천점, 오산점, 울산점, 원주점, 월배점, 의왕점, 이천점, 익산점, 자양점, 중동점, 진접점, 진주점, 창원점, 천안서북점, 청주점, 칠성점, 통영점, 파주점, 펜타포트점, 평촌점, 평택점, 포천점, 포항이동점, 포항점, 하남점, 하월곡점, 해운대점, 화성봉담점, 화정점",9900,레드,미국,콩코드,0,0,3,4,,"F02, A01, F01"
40,SG0016,신세계백화점,코노수르 토코르날 까베르네 소비뇽,"강남점, 센텀시티점, 마산점, 타임스퀘어점",9900,레드,칠레,까베르네쇼비뇽,0,0,2,1,,"B01, E01, A01"
41,SG0017,신세계백화점,"루이 미쉘, 샤블리 375ml","강남점, 경기점",35000,화이트,프랑스,샤도네이,0,0,3,1,,"B01, F04, A01, B02, E01"
42,SG0018,신세계백화점,빈도로 프리미티보 디 만두리아,"강남점, 경기점, 센텀시티점, 대구점",28000,레드,이탈리아,프리미티보,,,2,1,0,"E04, A01"
43,EM0025,이마트몰,산테로 피노 샤도네이 스푸만테,"가양점, 검단점, 경산점, 고잔점, 광산점, 구미점, 금정점, 김천점, 김해점, 동구미점, 동백점, 둔산점, 마산점, 만촌점, 명일점, 목포점, 문현점, 반야월점, 보령점, 사상점, 산본점, 상봉점, 상주점, 서산점, 서수원점, 성서점, 성수점, 수색점, 수지점, 순천점, 아산점, 안동점, 안성점, 양산점, 양주점, 연수점, 연제점, 영등포점, 영천점, 오산점, 원주점, 의왕점, 이천점, 자양점, 진접점, 창원점, 천안서북점, 천안점, 통영점, 파주점, 펜타포트점, 포천점, 포항점, 하남점, 화성봉담점",19900,화이트,이탈리아,피노비앙코,샤도네이,0,3,2,1,"B02, E01, F02, G01, F03"
