Priority,Key,Store,Wine_Name,Location,Price,Wine_Sort,Wine_Origin,Grape_1,Grape_2,Grape_3,Acid,Sweet,Sparkling,Food_match
212,SG0108,신세계백화점,슐로스 요하니스베르그 겔블락 쿠베아,본점,50000,화이트,독일,리슬링,0,0,1,3,,"D02, G01, G02, F02"
213,SG0109,신세계백화점,아방트 레드블렌딩,본점,32000,레드,미국,메를로,쉬라즈,까베르네소비뇽,1,1,,"B02, C01, A01, E02"
214,SG0110,신세계백화점,브라운 브라더스 모스카토 로사,"경기점, 의정부점",20000,화이트,호주,모스카토,시에나,,1,3,1,"G01, G02, C01, F03"
215,EM0108,이마트몰,샤토 생 미셸 컬럼비아 밸리 샤르도네,"가양점, 강릉점, 검단점, 경산점, 계양점, 고잔점, 과천점, 광명소하점, 광산점, 구미점, 군산점, 금정점, 김천점, 김해점, 대전터미널점, 동구미점, 동백점, 동인천점, 동해점, 둔산점, 마산점, 마포점, 만촌점, 명일점, 목동점, 목포점, 문현점, 반야월점, 별내점, 보라점, 보령점, 사상점, 산본점, 상봉점, 상주점, 서귀포점, 서산점, 서수원점, 성서점, 성수점, 세종점, 속초점, 수색점, 수지점, 순천점, 신제주점, 아산점, 안동점, 안성점, 양재점, 양주점, 여수점, 연수점, 연제점, 영등포점, 영천점, 울산점, 원주점, 월계점, 월배점, 의왕점, 의정부점, 이천점, 익산점, 자양점, 제주점, 중동점, 진접점, 진주점, 천안서북점, 청주점, 춘천점, 충주점, 통영점, 파주점, 펜타포트점, 평촌점, 평택점, 포천점, 포항이동점, 포항점, 하남점, 하월곡점, 해운대점, 화정점",29800,화이트,미국,리슬링,0,0,3,3,,"D02, E01, F02, G01, G02"
216,SG0111,신세계백화점,코노수르 싱글빈야드 시라,"본점, 마산점, 타임스퀘어점",28000,레드,칠레,쉬라즈,0,0,3,1,,"B02, E02"
217,SG0112,신세계백화점,필리프,본점,86000,레드,이탈리아,까베르네쇼비뇽,,,3,1,0,"B01, E01, E04"
218,EM0109,이마트몰,랑가 프레네시,"가양점, 강릉점, 검단점, 경산점, 계양점, 고잔점, 과천점, 광명소하점, 광산점, 구미점, 군산점, 금정점, 김천점, 김해점, 대전터미널점, 동구미점, 동백점, 동인천점, 동해점, 둔산점, 마산점, 마포점, 만촌점, 명일점, 목동점, 목포점, 문현점, 반야월점, 보라점, 보령점, 봉선점, 사상점, 산본점, 상주점, 서수원점, 성서점, 성수점, 세종점, 속초점, 수색점, 수지점, 순천점, 아산점, 안동점, 안성점, 양산점, 양재점, 양주점, 여주점, 연제점, 영등포점, 영천점, 오산점, 울산점, 원주점, 월계점, 월배점, 의왕점, 이천점, 익산점, 자양점, 제주점, 중동점, 진주점, 창원점, 천안서북점, 춘천점, 충주점, 통영점, 파주점, 평촌점, 포천점, 포항이동점, 포항점, 하남점, 해운대점, 화정점",19800,레드,스페인,레드블렌딩,0,0,2,1,,"C02, E02"
219,EM0110,이마트몰,알타비스타 클래식 까버네소비뇽,"가든5점, 가양점, 강릉점, 검단점, 경산점, 계양점, 고잔점, 과천점, 광명소하점, 광산점, 구미점, 군산점, 김천점, 김해점, 대전터미널점, 동구미점, 동백점, 동인천점, 동해점, 둔산점, 마산점, 마포점, 만촌점, 명일점, 목동점, 목포점, 문현점, 반야월점, 별내점, 보라점, 보령점, 봉선점, 사상점, 산본점, 상봉점, 상주점, 서귀포점, 서산점, 서수원점, 성서점, 성수점, 속초점, 수지점, 순천점, 신제주점, 아산점, 안동점, 안성점, 양산점, 양재점, 양주점, 여수점, 여주점, 연수점, 연제점, 영등포점, 영천점, 오산점, 울산점, 원주점, 월계점, 월배점, 의왕점, 의정부점, 이천점, 익산점, 자양점, 중동점, 진접점, 진주점, 창원점, 천안서북점, 청주점, 춘천점, 충주점, 칠성점, 통영점, 파주점, 펜타포트점, 평촌점, 평택점, 포천점, 포항이동점, 포항점, 하남점, 하월곡점, 해운대점, 화성봉담점, 화정점",25800,레드,아르헨티나,까베르네쇼비뇽,0,0,2,1,,"B01, E01, C01"
220,SG0114,신세계백화점,이기갈 지공다스,"마산점, 타임스퀘어점",47000,레드,프랑스,마르산느,루산느,0,3,1,,"F01, C01, E02"
221,SG0119,신세계백화점,"루이 미쉘, 쁘띠 샤블리","강남점, 경기점",47000,화이트,프랑스,샤도네이,0,0,5,1,,"B01, C01, F01, F02"
